Date,BR.Colour
04/03/2010,105
10/03/2010,70
15/03/2010,67
22/03/2010,125
30/03/2010,138
07/04/2010,108
12/04/2010,59
19/04/2010,36
26/04/2010,39
04/05/2010,82
10/05/2010,43
17/05/2010,39
24/05/2010,46
31/05/2010,29
08/06/2010,25
13/06/2010,29
23/06/2010,49
28/06/2010,29
05/07/2010,157
12/07/2010,113
19/07/2010,155
26/07/2010,186
08/08/2010,256
23/08/2010,228
30/08/2010,106
06/09/2010,136
13/09/2010,212
20/09/2010,207
28/09/2010,109
06/10/2010,143
26/10/2010,139
01/11/2010,137
08/11/2010,142
15/11/2010,94
22/11/2010,86
29/11/2010,86
07/12/2010,90
14/12/2010,95
05/01/2011,106
10/01/2011,103
17/01/2011,70
24/01/2011,65
31/01/2011,67
07/02/2011,83
14/02/2011,97
21/02/2011,117
14/03/2011,111
29/03/2011,53
05/04/2011,127
11/04/2011,74
18/04/2011,78
03/05/2011,48
08/05/2011,48
16/05/2011,177
23/05/2011,169
31/05/2011,87
07/06/2011,71
20/06/2011,86
27/06/2011,180
04/07/2011,65
11/07/2011,90
21/07/2011,112
08/08/2011,79
12/09/2011,180
18/10/2011,148
24/10/2011,167
02/11/2011,153
07/11/2011,112
21/11/2011,184.6
28/11/2011,108
05/12/2011,101.6
12/12/2011,48
03/01/2012,55
11/01/2012,50.6
26/01/2012,77
30/01/2012,72
07/02/2012,85.3
13/02/2012,84
20/02/2012,88
27/02/2012,147
05/03/2012,100
12/03/2012,89.3
26/03/2012,51.6
02/04/2012,56.3
10/04/2012,137.3
16/04/2012,56.3
23/04/2012,100.6
14/05/2012,111.6
21/05/2012,71.6
28/05/2012,40
05/06/2012,92
11/06/2012,91.6
18/06/2012,114.6
25/06/2012,156.6
01/07/2012,128
02/07/2012,223
09/07/2012,108.3
16/07/2012,84
23/07/2012,200.3
01/08/2012,260.6
08/08/2012,107
22/08/2012,119.66
28/08/2012,211.6
03/09/2012,159
10/09/2012,204
17/09/2012,203
24/09/2012,186
01/10/2012,138.6
22/10/2012,82.6
06/11/2012,99
12/11/2012,128.6
18/11/2012,135.3
21/11/2012,129
26/11/2012,119
03/12/2012,141.3
10/12/2012,106
17/12/2012,124.6
24/12/2012,122
07/01/2013,101
14/01/2013,99
21/01/2013,88.6
28/01/2013,107
04/02/2013,58
11/02/2013,44
18/02/2013,58
25/02/2013,25
04/03/2013,41
11/03/2013,31
19/03/2013,82
25/03/2013,70
02/04/2013,55
08/04/2013,21
16/04/2013,82
22/04/2013,65
29/04/2013,73
07/05/2013,83
13/05/2013,118
20/05/2013,94
27/05/2013,137
04/06/2013,37
10/06/2013,38
17/06/2013,92
09/07/2013,80
15/07/2013,34
22/07/2013,41
29/07/2013,40
06/08/2013,122
12/08/2013,106
19/08/2013,155
26/08/2013,149
02/09/2013,80
09/09/2013,150
16/09/2013,150
23/09/2013,83
30/09/2013,55
07/10/2013,77
14/10/2013,51
21/10/2013,128
29/10/2013,125
04/11/2013,102
11/11/2013,116
18/11/2013,79
25/11/2013,65
02/12/2013,51
10/12/2013,69
16/12/2013,89
23/12/2013,54
06/01/2014,53
13/01/2014,48
20/01/2014,95
27/01/2014,55
03/02/2014,23
10/02/2014,38.3
17/02/2014,55.3
24/02/2014,60.3
03/03/2014,74
10/03/2014,41
18/03/2014,90
24/03/2014,62.5
31/03/2014,62
07/04/2014,102
14/04/2014,49
22/04/2014,30
28/04/2014,78
06/05/2014,163
12/05/2014,185
19/05/2014,156
03/06/2014,144
09/06/2014,156.33
16/06/2014,107
23/06/2014,31
30/06/2014,64
07/07/2014,108
14/07/2014,147
21/07/2014,115
29/07/2014,71
05/08/2014,98
11/08/2014,156
15/08/2014,200
26/08/2014,175
01/09/2014,173
10/09/2014,62
17/09/2014,33
22/09/2014,34
29/09/2014,29
06/10/2014,149
12/10/2014,95
20/10/2014,170
28/10/2014,134
03/11/2014,165
10/11/2014,125
17/11/2014,115
24/11/2014,147
01/12/2014,86
08/12/2014,125
15/12/2014,76
22/12/2014,75
12/01/2015,62
19/01/2015,41
25/01/2015,112
26/01/2015,35
02/02/2015,66
03/02/2015,47
09/02/2015,40
16/02/2015,50
23/02/2015,48
09/03/2015,48
16/03/2015,40
23/03/2015,37
01/04/2015,64
08/04/2015,38
13/04/2015,82
20/04/2015,29
27/04/2015,46
05/05/2015,82
11/05/2015,125
18/05/2015,96
25/05/2015,78
02/06/2015,114
08/06/2015,53
15/06/2015,32
22/06/2015,52
29/06/2015,99
06/07/2015,39
13/07/2015,199
20/07/2015,152
27/07/2015,186
04/08/2015,202
10/08/2015,156
24/08/2015,241
31/08/2015,137
14/09/2015,184
21/09/2015,205
28/09/2015,105
05/10/2015,65
12/10/2015,100
19/10/2015,40
27/10/2015,156
03/11/2015,102
09/11/2015,175
16/11/2015,96
24/11/2015,88
30/11/2015,63
07/12/2015,89
14/12/2015,100
21/12/2015,175
29/12/2015,103
04/01/2016,77
15/01/2016,103
18/01/2016,118
01/02/2016,51
08/02/2016,40
15/02/2016,41
22/02/2016,39
29/02/2016,73
07/03/2016,53
14/03/2016,41
21/03/2016,30
29/03/2016,99
04/04/2016,85
11/04/2016,86
25/04/2016,39
03/05/2016,105
09/05/2016,82
16/05/2016,33
23/05/2016,133
30/05/2016,126
07/06/2016,34
13/06/2016,43
20/06/2016,155
27/06/2016,177
04/07/2016,114
18/07/2016,125
25/07/2016,142
02/08/2016,119
08/08/2016,138
15/08/2016,142
22/08/2016,240
29/08/2016,122
05/09/2016,228
12/09/2016,172
19/09/2016,220
26/09/2016,150
03/10/2016,139
10/10/2016,98
17/10/2016,95
25/10/2016,51
03/11/2016,78
07/11/2016,58
21/11/2016,100
28/11/2016,93
05/12/2016,55
12/12/2016,95
19/12/2016,105
28/12/2016,80
03/01/2017,75
09/01/2017,99
17/01/2017,77
24/01/2017,49
30/01/2017,90
13/02/2017,37
22/02/2017,113
27/02/2017,70
06/03/2017,68
13/03/2017,119
20/03/2017,104
27/03/2017,38
03/04/2017,83
10/04/2017,53
18/04/2017,67
24/04/2017,37
02/05/2017,26
08/05/2017,3
15/05/2017,105
22/05/2017,37
29/05/2017,75
06/06/2017,125
12/06/2017,174
19/06/2017,121
26/06/2017,97
03/07/2017,68
10/07/2017,122
17/07/2017,81
24/07/2017,124
31/07/2017,215
08/08/2017,199
14/08/2017,240
21/08/2017,180
29/08/2017,216
04/09/2017,224
11/09/2017,182
18/09/2017,113
25/09/2017,178
02/10/2017,135
17/10/2017,135
23/10/2017,139
31/10/2017,106
06/11/2017,119
13/11/2017,111
20/11/2017,175
27/11/2017,124
04/12/2017,120
11/12/2017,79
19/12/2017,82
03/01/2018,53
08/01/2018,50
15/01/2018,77
22/01/2018,63
29/01/2018,86
05/02/2018,43
12/02/2018,74
20/02/2018,38
26/02/2018,49
05/03/2018,49
12/03/2018,58
20/03/2018,55
26/03/2018,70
03/04/2018,89
11/04/2018,97
17/04/2018,167
23/04/2018,141
30/04/2018,89
08/05/2018,68
15/05/2018,88
21/05/2018,169
29/05/2018,39
05/06/2018,48
18/06/2018,109
26/06/2018,56
02/07/2018,13
09/07/2018,43
16/07/2018,78
25/07/2018,76
01/08/2018,74
02/08/2018,191
07/08/2018,86
15/08/2018,222
20/08/2018,158
27/08/2018,228
03/09/2018,182
10/09/2018,208
17/09/2018,200
24/09/2018,85
08/10/2018,111
16/10/2018,95
22/10/2018,119
15/01/2019,135
21/01/2019,121
29/01/2019,115
04/02/2019,88
11/02/2019,22
20/05/2019,21
27/05/2019,30
04/06/2019,234
10/06/2019,95
17/06/2019,133
24/06/2019,180
01/07/2019,82
06/07/2019,238
08/07/2019,40
15/07/2019,53
22/07/2019,220
29/07/2019,131
12/08/2019,198
19/08/2019,210
26/08/2019,133
02/09/2019,196
09/09/2019,182
16/09/2019,224
23/09/2019,202
30/09/2019,220
07/10/2019,140
14/10/2019,83
21/10/2019,128
29/10/2019,98
04/11/2019,167
11/11/2019,73
18/11/2019,121
25/11/2019,51
02/12/2019,67
09/12/2019,100
16/12/2019,48
23/12/2019,88
30/12/2019,105
06/01/2020,118
13/01/2020,105
20/01/2020,66
27/01/2020,43
03/02/2020,58
10/02/2020,43
17/02/2020,14
21/02/2020,18
25/02/2020,58
02/03/2020,10
09/03/2020,66
16/03/2020,25
23/03/2020,54
30/03/2020,56
06/04/2020,27
14/04/2020,18
20/04/2020,6
27/04/2020,35
05/05/2020,6
11/05/2020,34
18/05/2020,38
22/05/2020,103
25/05/2020,74
02/06/2020,43
08/06/2020,11
15/06/2020,36
22/06/2020,29
23/06/2020,92
29/06/2020,119
06/07/2020,106
13/07/2020,157
20/07/2020,86
27/07/2020,244
04/08/2020,150
10/08/2020,85
17/08/2020,115
24/08/2020,222
31/08/2020,164
07/09/2020,215
14/09/2020,179
22/09/2020,75
28/09/2020,104
05/10/2020,173
12/10/2020,160
19/10/2020,72
27/10/2020,90
29/10/2020,78
02/11/2020,71
09/11/2020,70
16/11/2020,128
23/11/2020,98
30/11/2020,89
07/12/2020,107
14/12/2020,102
21/12/2020,108
