Date,BR.TN
05/01/2009,0.292
12/01/2009,0.453
20/01/2009,0.346
26/01/2009,0.294
02/02/2009,0.335
10/02/2009,0.242
16/02/2009,0.301
23/02/2009,0.22
03/03/2009,0.316
09/03/2009,0.384
16/03/2009,0.252
23/03/2009,0.177
30/03/2009,0.23
07/04/2009,0.318
15/04/2009,0.349
20/04/2009,0.302
27/04/2009,0.299
05/05/2009,0.417
11/05/2009,0.532
18/05/2009,0.351
25/05/2009,0.563
04/06/2009,0.212
08/06/2009,0.224
15/06/2009,0.134
22/06/2009,0.228
29/06/2009,0.175
07/07/2009,0.527
13/07/2009,0.398
29/07/2009,0.348
04/08/2009,0.31
10/08/2009,0.405
17/08/2009,0.385
24/08/2009,0.511
31/08/2009,0.461
14/09/2009,0.325
21/09/2009,0.474
08/03/2010,0.164
07/04/2010,0.159
04/05/2010,0.192
14/06/2010,0.106
05/07/2010,0.275
09/08/2010,0.507
06/09/2010,0.357
06/10/2010,0.233
14/12/2010,0.132
07/02/2011,0.338
03/05/2011,0.154
13/06/2011,0.227
21/07/2011,0.351
15/08/2011,0.354
12/09/2011,0.288
03/01/2012,0.257
26/03/2012,0.17
16/04/2012,0.214
02/07/2012,0.797
06/11/2012,0.219
03/12/2012,0.207
21/01/2013,0.354
04/02/2013,0.242
04/03/2013,0.177
08/04/2013,0.157
07/05/2013,0.372
04/06/2013,0.255
10/06/2013,0.188
01/07/2013,0.361
06/08/2013,0.324
02/09/2013,0.262
07/10/2013,0.334
29/10/2013,0.451
02/12/2013,0.234
06/01/2014,0.278
03/02/2014,0.201
03/03/2014,0.215
07/04/2014,0.322
06/05/2014,0.523
03/06/2014,0.477
07/07/2014,0.385
10/09/2014,0.236
26/01/2015,0.254
02/02/2015,0.277
19/03/2015,0.213
08/04/2015,0.146
25/05/2015,0.31
08/06/2015,0.355
06/07/2015,0.161
04/08/2015,0.547
31/08/2015,0.392
14/09/2015,0.529
05/10/2015,0.289
03/11/2015,0.277
07/12/2015,0.307
04/01/2016,0.269
01/02/2016,0.242
07/03/2016,0.24
04/04/2016,0.284
03/05/2016,0.43
07/06/2016,0.206
13/06/2016,0.249
04/07/2016,0.342
02/08/2016,0.499
05/09/2016,0.659
03/10/2016,0.403
05/12/2016,0.315
03/01/2017,0.296
05/02/2017,0.261
13/02/2017,0.288
06/03/2017,0.337
03/04/2017,0.328
02/05/2017,0.175
15/05/2017,0.791
06/06/2017,0.386
12/06/2017,0.484
10/07/2017,0.374
08/08/2017,0.437
04/09/2017,0.579
02/10/2017,0.458
31/10/2017,0.45
04/12/2017,0.366
03/01/2018,0.318
12/03/2018,0.297
18/04/2018,0.373
15/05/2018,0.361
05/06/2018,0.393
02/07/2018,0.284
02/08/2018,0.603
03/09/2018,0.45
01/10/2018,0.287
10/12/2018,0.402
02/01/2019,0.379
04/02/2019,0.397
04/03/2019,0.318
01/04/2019,0.31
07/05/2019,0.254
04/06/2019,0.435
01/07/2019,0.345
06/08/2019,0.643
09/09/2019,0.543
07/10/2019,0.427
04/11/2019,0.393
02/12/2019,0.339
06/01/2020,1.592
03/02/2020,0.263
02/03/2020,0.423
06/04/2020,0.455
05/05/2020,0.221
02/06/2020,0.331
06/07/2020,0.427
04/08/2020,0.56
31/08/2020,0.508
05/10/2020,0.475
02/11/2020,0.342
