Date,F.TP
15/01/2009,7.506
26/01/2009,7.771
19/02/2009,6.399
25/02/2009,8.437
02/03/2009,6.655
10/03/2009,6.182
01/04/2009,7.36
16/04/2009,7.04
29/04/2009,7.926
12/05/2009,7.914
22/05/2009,6.172
26/05/2009,6.338
11/06/2009,11.951
22/06/2009,5.743
06/07/2009,6.22
15/03/2010,5.385
07/04/2010,8.704
12/07/2010,4.882
09/08/2010,8.704
22/09/2010,7.966
27/10/2010,8.704
15/11/2010,8.335
08/12/2010,7.229
08/02/2011,8.704
28/04/2011,7.452
28/06/2011,10.389
11/07/2011,6.122
12/08/2011,6.491
19/02/2012,8
24/05/2012,7
19/06/2012,9
09/07/2012,9
07/08/2012,9
18/09/2012,9
24/10/2012,9
15/11/2012,9
12/12/2012,9
16/01/2013,9
20/03/2013,7
22/04/2013,8
27/05/2013,6
24/06/2013,5
23/07/2013,7
15/08/2013,7
13/09/2013,6
14/10/2013,7
21/11/2013,7
17/12/2013,9
14/01/2014,9
14/02/2014,7
26/03/2014,7
01/05/2014,7
21/05/2014,8
19/06/2014,7
30/07/2014,9
26/08/2014,9
17/09/2014,3
13/10/2014,4
25/11/2014,10
15/12/2014,5
16/01/2015,7
18/02/2015,7
16/03/2015,5
15/04/2015,5
20/05/2015,6
25/06/2015,5
28/07/2015,6
25/08/2015,5
21/09/2015,9
02/11/2015,8
30/11/2015,9
11/01/2016,9
18/02/2016,6
14/03/2016,4
19/04/2016,6
16/05/2016,3
20/06/2016,6
08/07/2016,4
11/07/2016,5
10/08/2016,6
13/09/2016,9
19/10/2016,8
15/11/2016,9
13/12/2016,6
16/01/2017,6
17/02/2017,8
28/03/2017,6
04/05/2017,5
17/07/2017,4
14/08/2017,4
20/09/2017,6
25/10/2017,7
16/11/2017,8
18/12/2017,7
23/01/2018,6
07/03/2018,6
20/03/2018,5
03/04/2018,6
01/05/2018,6
28/05/2018,7
26/06/2018,6
05/07/2018,5
24/07/2018,5
21/08/2018,7
17/09/2018,20
17/10/2018,8
08/11/2018,7
18/12/2018,8
14/01/2019,7
18/02/2019,7
25/03/2019,6
16/04/2019,5
14/05/2019,4
19/06/2019,5
17/07/2019,4
20/08/2019,6
19/09/2019,8
15/10/2019,7
19/11/2019,6
16/12/2019,6
21/01/2020,7
25/02/2020,7
25/03/2020,5
21/04/2020,4
20/05/2020,4
24/06/2020,5
17/07/2020,7
12/08/2020,7
14/09/2020,7
16/10/2020,6
16/11/2020,7
