Date,GR.Colour
04/03/2010,111
10/03/2010,63
15/03/2010,60
22/03/2010,78
30/03/2010,104
07/04/2010,86
12/04/2010,50
19/04/2010,37
26/04/2010,45
04/05/2010,66
10/05/2010,56
17/05/2010,61
24/05/2010,72
31/05/2010,40
08/06/2010,41
13/06/2010,46
23/06/2010,28
28/06/2010,48
05/07/2010,133
12/07/2010,104
19/07/2010,163
26/07/2010,178
08/08/2010,211
23/08/2010,172
30/08/2010,111
06/09/2010,187
13/09/2010,152
20/09/2010,166
28/09/2010,94
06/10/2010,80
12/10/2010,80
26/10/2010,117
01/11/2010,85
08/11/2010,94
15/11/2010,55
22/11/2010,53
29/11/2010,58
09/12/2010,74
14/12/2010,78
05/01/2011,84
10/01/2011,90
17/01/2011,81
24/01/2011,44
31/01/2011,62
07/02/2011,57
14/02/2011,102
21/02/2011,104
14/03/2011,77
21/03/2011,56
28/03/2011,42
05/04/2011,88
11/04/2011,81
18/04/2011,72
27/04/2011,44
03/05/2011,60
08/05/2011,89
16/05/2011,146
23/05/2011,130
31/05/2011,75
07/06/2011,92
20/06/2011,82
27/06/2011,163
11/07/2011,111
21/07/2011,113
08/08/2011,119
22/08/2011,152
29/08/2011,131
12/09/2011,103
19/09/2011,68
18/10/2011,110
24/10/2011,116
02/11/2011,109
07/11/2011,96
21/11/2011,142.6
28/11/2011,67.6
05/12/2011,56.3
12/12/2011,24
03/01/2012,31.6
11/01/2012,29.6
26/01/2012,51.3
30/01/2012,60.3
13/02/2012,98
20/02/2012,59
27/02/2012,110
05/03/2012,85
12/03/2012,79.6
26/03/2012,67.3
02/04/2012,43.6
10/04/2012,92.6
16/04/2012,52.6
23/04/2012,84
14/05/2012,76.6
28/05/2012,48
05/06/2012,98
11/06/2012,102
18/06/2012,96.3
25/06/2012,148
02/07/2012,172.6
09/07/2012,125.3
16/07/2012,75
23/07/2012,153.6
01/08/2012,197.3
08/08/2012,129.3
22/08/2012,166
28/08/2012,191.6
03/09/2012,178.3
10/09/2012,177.3
17/09/2012,126
24/09/2012,120
01/10/2012,88
22/10/2012,84
06/11/2012,73.6
12/11/2012,92.3
18/11/2012,105.6
21/11/2012,105
26/11/2012,94
03/12/2012,94.6
10/12/2012,86.3
17/12/2012,84.6
24/12/2012,93.5
07/01/2013,71.3
14/01/2013,89
21/01/2013,91.3
28/01/2013,52
04/02/2013,26
11/02/2013,24
18/02/2013,47
25/02/2013,14
04/03/2013,42
11/03/2013,25
19/03/2013,68
25/03/2013,66
02/04/2013,45
08/04/2013,24
16/04/2013,52
22/04/2013,59
29/04/2013,76
07/05/2013,77
13/05/2013,93
20/05/2013,86
27/05/2013,100
04/06/2013,60
10/06/2013,56
17/06/2013,100
03/07/2013,119
09/07/2013,99
15/07/2013,60
22/07/2013,71
29/07/2013,70
06/08/2013,133
12/08/2013,171
19/08/2013,151
26/08/2013,172
02/09/2013,122
09/09/2013,155
16/09/2013,120
23/09/2013,91
30/09/2013,73
07/10/2013,121
14/10/2013,73
21/10/2013,127
29/10/2013,97
04/11/2013,83
11/11/2013,87
18/11/2013,57
25/11/2013,58
02/12/2013,49
10/12/2013,67
16/12/2013,58
23/12/2013,31
06/01/2014,34
13/01/2014,43
20/01/2014,74
27/01/2014,36.6
03/02/2014,14
10/02/2014,24
17/02/2014,33.6
24/02/2014,48.3
03/03/2014,54
10/03/2014,56
18/03/2014,67
24/03/2014,54.6
31/03/2014,73
07/04/2014,84.5
14/04/2014,47
22/04/2014,30
28/04/2014,63.6
06/05/2014,111
12/05/2014,127
19/05/2014,138
03/06/2014,136
09/06/2014,168
16/06/2014,130
23/06/2014,48
30/06/2014,72
07/07/2014,142
14/07/2014,139
21/07/2014,119
29/07/2014,106
05/08/2014,132
11/08/2014,204
15/08/2014,185
26/08/2014,147
01/09/2014,169
10/09/2014,69
17/09/2014,29
22/09/2014,50
29/09/2014,63
06/10/2014,116
12/10/2014,89
20/10/2014,116
28/10/2014,88
03/11/2014,137
10/11/2014,125
17/11/2014,118
24/11/2014,127
01/12/2014,89
08/12/2014,111
15/12/2014,42
22/12/2014,60
12/01/2015,38
19/01/2015,22
25/01/2015,87
26/01/2015,28
02/02/2015,45
03/02/2015,35
09/02/2015,28
16/02/2015,34
23/02/2015,27
09/03/2015,42
16/03/2015,35
23/03/2015,38
01/04/2015,46
08/04/2015,34
13/04/2015,74
20/04/2015,40
27/04/2015,62
05/05/2015,84
11/05/2015,115
18/05/2015,77
25/05/2015,77
02/06/2015,91
08/06/2015,68
15/06/2015,47
22/06/2015,60
29/06/2015,89
06/07/2015,55
13/07/2015,165
20/07/2015,125
27/07/2015,165
04/08/2015,125
10/08/2015,128
24/08/2015,187
31/08/2015,141
14/09/2015,142
21/09/2015,209
28/09/2015,120
05/10/2015,71
12/10/2015,139
19/10/2015,63
29/10/2015,147
03/11/2015,102
09/11/2015,136
16/11/2015,82
24/11/2015,50
30/11/2015,41
07/12/2015,58
14/12/2015,65
21/12/2015,122
29/12/2015,52
04/01/2016,68
15/01/2016,52
18/01/2016,85
01/02/2016,29
08/02/2016,25
15/02/2016,22
22/02/2016,20
29/02/2016,50
07/03/2016,31
14/03/2016,28
21/03/2016,24
29/03/2016,80
04/04/2016,80
11/04/2016,62
25/04/2016,50
03/05/2016,84
09/05/2016,74
16/05/2016,47
23/05/2016,111
30/05/2016,64
07/06/2016,46
13/06/2016,50
20/06/2016,153
27/06/2016,148
04/07/2016,109
18/07/2016,103
25/07/2016,158
02/08/2016,139
08/08/2016,144
15/08/2016,140
22/08/2016,187
29/08/2016,127
05/09/2016,175
12/09/2016,144
19/09/2016,212
26/09/2016,102
03/10/2016,110
10/10/2016,100
17/10/2016,103
25/10/2016,48
03/11/2016,104
07/11/2016,23
21/11/2016,93
28/11/2016,64
05/12/2016,45
12/12/2016,88
19/12/2016,85
28/12/2016,53
03/01/2017,55
09/01/2017,73
17/01/2017,46
24/01/2017,36
30/01/2017,69
13/02/2017,38
22/02/2017,109
27/02/2017,46
06/03/2017,70
13/03/2017,104
20/03/2017,93
27/03/2017,40
03/04/2017,82
10/04/2017,55
18/04/2017,73
24/04/2017,42
02/05/2017,38
08/05/2017,34
15/05/2017,78
22/05/2017,53
29/05/2017,89
06/06/2017,145
12/06/2017,136
19/06/2017,150
26/06/2017,124
03/07/2017,115
10/07/2017,162
17/07/2017,111
24/07/2017,149
31/07/2017,131
08/08/2017,176
14/08/2017,144
21/08/2017,163
29/08/2017,215
04/09/2017,179
11/09/2017,104
18/09/2017,81
25/09/2017,155.6
02/10/2017,93
17/10/2017,97
23/10/2017,92
31/10/2017,97
06/11/2017,84
13/11/2017,95
20/11/2017,128
27/11/2017,92
04/12/2017,103
11/12/2017,60
19/12/2017,60
03/01/2018,27
08/01/2018,28
15/01/2018,53
22/01/2018,37
29/01/2018,60
05/02/2018,28
12/02/2018,54
20/02/2018,36
26/02/2018,46
05/03/2018,46
12/03/2018,45
20/03/2018,60
26/03/2018,60
03/04/2018,82
11/04/2018,95
17/04/2018,140
23/04/2018,116
30/04/2018,100
08/05/2018,86
15/05/2018,96
21/05/2018,138
29/05/2018,49
05/06/2018,69
18/06/2018,104
26/06/2018,52
02/07/2018,41
09/07/2018,73
16/07/2018,151
25/07/2018,128
01/08/2018,51
02/08/2018,183
07/08/2018,178
15/08/2018,207
20/08/2018,169
27/08/2018,193
03/09/2018,210
10/09/2018,190
17/09/2018,165
24/09/2018,60
08/10/2018,53
16/10/2018,65
22/10/2018,88
15/01/2019,113
21/01/2019,86
29/01/2019,62
04/02/2019,59
11/02/2019,21
20/05/2019,33
27/05/2019,32
04/06/2019,174
10/06/2019,106
17/06/2019,95
24/06/2019,112
01/07/2019,95
06/07/2019,198
08/07/2019,60
15/07/2019,88
22/07/2019,143
29/07/2019,158
12/08/2019,176
19/08/2019,151
26/08/2019,129
02/09/2019,183
09/09/2019,125
16/09/2019,168
23/09/2019,198
30/09/2019,186
07/10/2019,90
14/10/2019,62
21/10/2019,93
29/10/2019,88
04/11/2019,138
11/11/2019,38
18/11/2019,83
25/11/2019,57
02/12/2019,67
09/12/2019,81
16/12/2019,24
23/12/2019,65
30/12/2019,69
06/01/2020,89
13/01/2020,85
20/01/2020,45
27/01/2020,14
03/02/2020,40
10/02/2020,23
17/02/2020,2
21/02/2020,5
25/02/2020,44
02/03/2020,0
09/03/2020,39
16/03/2020,12
23/03/2020,44
30/03/2020,55
06/04/2020,37
14/04/2020,20
20/04/2020,10
27/04/2020,44
05/05/2020,15
11/05/2020,43
18/05/2020,76
25/05/2020,75
02/06/2020,60
08/06/2020,20
15/06/2020,48
22/06/2020,32
23/06/2020,76
29/06/2020,88
06/07/2020,156
13/07/2020,148
20/07/2020,99
27/07/2020,196
04/08/2020,136
10/08/2020,101
17/08/2020,105
24/08/2020,200
31/08/2020,156
07/09/2020,159
14/09/2020,140
22/09/2020,95
28/09/2020,95
05/10/2020,121
12/10/2020,100
19/10/2020,66
27/10/2020,40
29/10/2020,55
02/11/2020,50
09/11/2020,49
16/11/2020,95
23/11/2020,68
30/11/2020,85
07/12/2020,77
14/12/2020,69
21/12/2020,95
