Date,GR.TP
05/01/2009,2.837
12/01/2009,3.216
20/01/2009,2.081
26/01/2009,2.081
02/02/2009,1.702
10/02/2009,2.081
16/02/2009,2.081
23/02/2009,3.216
03/03/2009,3.594
09/03/2009,2.837
16/03/2009,2.837
23/03/2009,6.813
30/03/2009,4.103
07/04/2009,3.329
15/04/2009,2.942
20/04/2009,3.329
27/04/2009,4.103
05/05/2009,3.716
11/05/2009,1.781
18/05/2009,2.942
25/05/2009,4.49
04/06/2009,5.265
08/06/2009,3.716
15/06/2009,4.877
22/06/2009,4.49
29/06/2009,6.813
07/07/2009,6.426
13/07/2009,6.039
27/07/2009,6.039
04/08/2009,6.039
10/08/2009,6.039
17/08/2009,5.652
24/08/2009,8.555
31/08/2009,6.426
14/09/2009,5.652
21/09/2009,9.523
24/03/2010,10.756
19/04/2010,56.275
14/06/2010,10.756
19/07/2010,8.92
16/08/2010,12.591
13/09/2010,12.591
18/10/2010,50.035
22/11/2010,56.643
14/12/2010,7.085
24/01/2011,8.186
14/03/2011,18.465
23/05/2011,18.098
13/06/2011,17.364
21/07/2011,11.123
15/08/2011,10.022
12/09/2011,10.917
03/01/2012,1
30/01/2012,3
05/03/2012,4
26/03/2012,5
16/04/2012,10
14/05/2012,1
05/06/2012,6
02/07/2012,7
01/10/2012,1
03/12/2012,5
04/02/2013,3
04/03/2013,3
08/04/2013,7
07/05/2013,5
10/06/2013,7
03/07/2013,5
06/08/2013,7
02/09/2013,6
07/10/2013,7
29/10/2013,5
02/12/2013,6
06/01/2014,4
03/02/2014,3
03/03/2014,6
07/04/2014,4
06/05/2014,10
07/07/2014,9
10/09/2014,7
26/01/2015,3
02/02/2015,5
19/03/2015,4
08/04/2015,3
25/05/2015,4
03/06/2015,8
08/06/2015,5
06/07/2015,7
04/08/2015,7
31/08/2015,6
14/09/2015,11
05/10/2015,8
03/11/2015,7
07/12/2015,5
04/01/2016,7
01/02/2016,4
07/03/2016,3
04/04/2016,4
03/05/2016,4
07/06/2016,10
13/06/2016,32
04/07/2016,9
02/08/2016,13
05/09/2016,9
03/10/2016,6
03/11/2016,16
05/12/2016,5
03/01/2017,3
13/02/2017,5
06/03/2017,5
03/04/2017,6
02/05/2017,5
15/05/2017,18
06/06/2017,5
12/06/2017,6
10/07/2017,5
08/08/2017,5
04/09/2017,9
02/10/2017,4
31/10/2017,7
04/12/2017,3
03/01/2018,2
05/02/2018,2
12/03/2018,3
08/04/2018,3
15/05/2018,4
05/06/2018,9
02/07/2018,11
02/08/2018,9
03/09/2018,11
01/10/2018,4
10/12/2018,5
02/01/2019,5
04/02/2019,8
04/03/2019,16
01/04/2019,3
07/05/2019,3
04/06/2019,6
01/07/2019,6
06/08/2019,9
09/09/2019,8
07/10/2019,5
04/11/2019,6
02/12/2019,5
06/01/2020,5
03/02/2020,4
02/03/2020,2
06/04/2020,4
05/05/2020,5
02/06/2020,9
06/07/2020,7
04/08/2020,13
31/08/2020,7
05/10/2020,5
02/11/2020,3
